  	ucs	gbfs-h1	gbfs-h2	astar-h1	astar-h2	
total no solution	34	0	0	0	0	
percent no solution	68.0%	0.0%	0.0%	0.0%	0.0%	
total solution length	134	732	1526	526	620	
average solution length	8.375	14.64	30.52	10.52	12.4	
total search length	53465	3248	8433	43437	33721	
avarage search length	3341.5625	64.96	168.66	868.74	674.42	
total cost	180	1059	2059	637	751	
average cost	11.25	21.18	41.18	12.74	15.02	
total execution time	357.5149371623993	0.19317913055419922	0.7273266315460205	2.744924306869507	3.092980146408081	
average execution time	22.344683572649956	0.0038635826110839846	0.01454653263092041	0.05489848613739014	0.061859602928161624	
# of optimal paths	11	5	1	30	10	
